"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"211644_x_at",8.59086446076875,7.56108562957655,35.9598929699612,9.22827583478288e-21,2.05633670426467e-16,35.2055237206479
"216401_x_at",8.08117255662312,7.28962632304732,34.201553044647,2.67625117763203e-20,2.98174524955873e-16,34.4300149911452
"209374_s_at",7.62439371900029,8.09300706088195,28.0079878983772,1.82553247246791e-18,1.35594466946675e-14,31.1408806207249
"217378_x_at",8.31572524909932,7.81681428257295,27.4404348510726,2.80778249253134e-18,1.5641454320269e-14,30.7879691861266
"216491_x_at",7.73478900283899,6.39420029629927,21.9683743315123,2.91534472905082e-16,1.29925253194879e-12,26.8073077962102
"214777_at",8.45143186927249,6.75040319915449,21.3547647102173,5.23813891813824e-16,1.60483427256884e-12,26.2846248438973
"211637_x_at",7.51916633851703,6.16970519271712,21.2568816145946,5.75957117590887e-16,1.60483427256884e-12,26.199598817965
"216510_x_at",7.04762844761568,5.96458502215235,21.2565110156916,5.76164528140317e-16,1.60483427256884e-12,26.1992760205667
"211645_x_at",7.80549152018211,8.12863828200562,20.9753788428927,7.58381433936621e-16,1.8776681658233e-12,25.9524804878297
"216576_x_at",7.06088610613266,7.56524490135513,20.74908622778,9.48445248080031e-16,2.11342054629673e-12,25.7509965884944
"217258_x_at",6.87634212876304,5.9134834080737,20.3856499577684,1.36468007144981e-15,2.76446963928329e-12,25.4220011621581
"206641_at",4.85529725113364,4.47795630677834,19.7016779037264,2.75076686397427e-15,5.10794483582822e-12,24.7841696102689
"203574_at",-3.35485214869808,9.35186870508818,-19.5759577891832,3.13648408632083e-15,5.37617499196054e-12,24.6641931359538
"215176_x_at",7.16949841625417,8.4642588042863,19.4504964153552,3.57802781920409e-15,5.38033434472063e-12,24.5435947371413
"209138_x_at",7.12291597665935,9.48905122335452,19.4389450538243,3.62182000497282e-15,5.38033434472063e-12,24.5324471696197
"215121_x_at",7.04712068456238,9.86656478361277,19.3631532953131,3.92338645681676e-15,5.46405127607799e-12,24.4591199486337
"217480_x_at",4.67644226292944,9.00358235203076,19.1628183885557,4.85356903716202e-15,6.36188699147537e-12,24.2637424422089
"217148_x_at",7.22085393200756,7.97453641604519,18.7050430556855,7.95208057051361e-15,9.84423396404194e-12,23.8086440232459
"216829_at",4.9660442474697,4.56778887458399,18.5125016565017,9.81892667875308e-15,1.15155338517187e-11,23.6135480903137
"211634_x_at",7.45725195305376,6.78768639483611,18.4094552345447,1.10008490786255e-14,1.22565960009507e-11,23.5082204133923
"211650_x_at",6.73483088690399,5.68357815351584,17.9663861184757,1.80506283217854e-14,1.91534357568735e-11,23.047929767814
"215946_x_at",4.95879613970325,8.49165431947266,17.7285976589722,2.36509776308726e-14,2.39552152067607e-11,22.7958284250014
"215379_x_at",8.58942618660455,8.4013295181573,17.5632143804845,2.85948972701106e-14,2.7703482429125e-11,22.6183518157409
"217281_x_at",6.68344222368173,5.90121707416936,17.2147497790933,4.28780128091634e-14,3.98104483094411e-11,22.2385388701962
"211798_x_at",6.81325648125366,6.46527600513534,17.0475272067412,5.22122598980586e-14,4.51668139637135e-11,22.0533911837024
"211908_x_at",5.03610837018741,5.60140309638135,17.0396512638856,5.27010350068012e-14,4.51668139637135e-11,22.0446242133849
"216207_x_at",5.33005409080221,9.45693101057226,16.8648647389604,6.48700569948475e-14,5.35370177783773e-11,21.8489695588356
"211639_x_at",5.7074559288359,5.59862459617026,16.3194560694971,1.25565756127051e-13,9.99279194206815e-11,21.2246938340507
"216984_x_at",7.28912422914467,7.58334597316458,16.2349720090702,1.3932699557657e-13,1.07055980773542e-10,21.1260861132669
"211643_x_at",6.41054527278983,8.03520941299401,16.1077556818997,1.63088776695764e-13,1.21136907037057e-10,20.9766154985266
"214669_x_at",7.31771497594774,8.61382872329232,16.0754558246718,1.69770091198869e-13,1.22031836844658e-10,20.9384751815446
"214836_x_at",6.043656375491,9.02777120429678,16.0480795516981,1.75656285913161e-13,1.22317156843843e-10,20.9060881006213
"214768_x_at",7.28527330650348,7.28897701505735,15.9860137688369,1.89802917624402e-13,1.25105670392883e-10,20.8324553594981
"217157_x_at",6.47720575966953,6.91222663140882,15.9814473266502,1.90889592665171e-13,1.25105670392883e-10,20.8270265225252
"211633_x_at",5.94093073381774,6.01596855826188,15.8146863260481,2.35364550295393e-13,1.49846522120921e-10,20.627697329335
"215949_x_at",5.47755161037845,5.95163413060641,15.6505744766775,2.89769505090526e-13,1.79359274498116e-10,20.4294718574185
"214677_x_at",7.90523587437429,8.92784041875887,15.3570571721243,4.2227010499827e-13,2.52927702081244e-10,20.0697426867624
"221286_s_at",5.12577066030486,5.60383353871065,15.3406551698807,4.31326692056153e-13,2.52927702081244e-10,20.0494411435581
"217320_at",3.80763371028224,3.83652584264908,15.1741838237075,5.35567527165727e-13,3.06001313021382e-10,19.8421791915495
"209681_at",-2.85030025537736,7.22630384349922,-14.7742463480448,9.08304070826116e-13,5.05993490255459e-10,19.3350625438134
"217384_x_at",4.47103865321768,4.88135738563592,14.3953225246495,1.51491973758839e-12,8.23340402748344e-10,18.8422796248329
"211430_s_at",7.80169014850544,9.31103749871775,14.2863218838301,1.75867268550712e-12,9.33059605979883e-10,18.6982472175866
"211881_x_at",4.9403367049447,7.05946903646065,14.2570734550809,1.83079845434837e-12,9.48736789726623e-10,18.6594225825952
"212592_at",7.23278423900358,6.31009211850896,14.1517775096739,2.11701703602352e-12,1.07212478667527e-09,18.5190303878444
"213915_at",5.05521792405556,4.14684098318222,14.0762439423958,2.35078628912034e-12,1.16405713067708e-09,18.4177177315911
"216560_x_at",6.33731433511599,5.51415655741062,14.0150768950647,2.5597381041286e-12,1.23997052552821e-09,18.33530292944
"205267_at",5.77529955976635,6.08811155423848,13.9588358040879,2.76895132709048e-12,1.312777498331e-09,18.2592298253416
"203932_at",2.72587605450111,9.63143786584139,13.9398830606249,2.84340333664015e-12,1.31999076146568e-09,18.2335298494272
"214973_x_at",5.72970717300454,7.2344161126477,13.8684028200821,3.14349179523633e-12,1.42951893210717e-09,18.1363107306538
"214916_x_at",5.5570057570774,7.68943880680109,13.7570298763109,3.67846924266529e-12,1.63934660268621e-09,17.9839094958205
"211649_x_at",4.70574023026084,5.33802885917791,13.3113469446909,6.97136380240461e-12,3.04593920801925e-09,17.3625497849661
"209074_s_at",-4.64156940846405,5.41866820769963,-13.2286945681214,7.86356414296333e-12,3.36968845764715e-09,17.2452563638614
"213241_at",3.33408397335489,7.34361334136146,13.1776440973481,8.47330721931717e-12,3.45622305474331e-09,17.1724817550214
"205671_s_at",3.52381815328869,5.43186625207244,13.1630462810594,8.65656333473737e-12,3.45622305474331e-09,17.1516256881074
"211640_x_at",4.68183242811764,5.45324571317984,13.1535316211313,8.77822384374818e-12,3.45622305474331e-09,17.1380208842714
"213502_x_at",4.20489267872712,8.27098584106736,13.1526233947937,8.7899296825871e-12,3.45622305474331e-09,17.1367217729476
"203725_at",-3.11395939099149,9.06680142029535,-13.1486731915802,8.84103191313416e-12,3.45622305474331e-09,17.131070540541
"217022_s_at",8.94430102217584,7.22210661408153,13.0608571629956,1.00606160775495e-11,3.8651846216558e-09,17.0050478455182
"203528_at",3.60451207135155,5.30345851250619,13.0304849782406,1.05221367084219e-11,3.93103501955051e-09,16.9612864042022
"213603_s_at",2.24420942952287,8.36796512811114,13.0264655332205,1.05848450017067e-11,3.93103501955051e-09,16.955488263335
"217235_x_at",3.75227168064752,8.60291469260999,13.0077645760118,1.08817590953468e-11,3.96164665982005e-09,16.928490876739
"216365_x_at",5.90254445371462,5.02014770793945,12.9990635708415,1.10228466951866e-11,3.96164665982005e-09,16.9159180870275
"203542_s_at",-2.72298124154238,9.36474530316016,-12.9443824041945,1.19542004545256e-11,4.22818172584434e-09,16.8367343210564
"203543_s_at",-2.60012272118293,8.58809417171768,-12.7534931568441,1.59006062098238e-11,5.53614387771101e-09,16.5579835601681
"212314_at",2.82939022315505,7.58104874493158,12.6456576882624,1.87085778300176e-11,6.41358830440436e-09,16.3988996845274
"220266_s_at",-3.04441744475078,9.00300023290428,-12.4345695682621,2.580183120093e-11,8.7112455250049e-09,16.0840659367413
"221651_x_at",5.70886151262149,10.1138484412015,12.2796185677811,3.27562139127e-11,1.08941300689059e-08,15.850030696277
"205242_at",6.02822440587982,5.33504874574046,12.1343821684147,4.10531981301285e-11,1.3452770793142e-08,15.6283818005296
"215214_at",5.34991611570932,5.70193778363992,12.0913238250982,4.39124536071006e-11,1.4181176865609e-08,15.5622397878247
"201286_at",4.84413557293124,4.72923974617099,11.790237242992,7.06760159094131e-11,2.24981951787065e-08,15.0941686401093
"221059_s_at",1.84792899153978,8.40370224175184,11.7489565834603,7.54946202167218e-11,2.36936143984396e-08,15.0292247738838
"216853_x_at",5.92678332491346,6.29466123299117,11.7400081908734,7.65834622755417e-11,2.37015179150819e-08,15.0151222160169
"214091_s_at",-2.505145461283,11.416771619646,-11.6831976881807,8.38879529747809e-11,2.56065103580417e-08,14.9253836014576
"217179_x_at",3.97804344731302,7.79260701332506,11.6080214046819,9.46834364225184e-11,2.81001719019198e-08,14.8060848764314
"217227_x_at",5.17904901349173,6.69321273070131,11.6005753246037,9.58285850662228e-11,2.81001719019198e-08,14.7942343486182
"210031_at",2.30538386083445,5.9210344129971,11.6004985684268,9.58404642348833e-11,2.81001719019198e-08,14.7941121580469
"206134_at",3.66459269095959,6.56350788676819,11.5841114171156,9.84119991930137e-11,2.84794101041289e-08,14.7680098931828
"208998_at",3.05685394024787,9.01352094466408,11.5451302064648,1.0482141379147e-10,2.99453277373759e-08,14.7057981533951
"202329_at",2.03828822021108,7.68644662203734,11.5292816805737,1.07549952141839e-10,3.0335893462995e-08,14.6804561981199
"211641_x_at",4.07886335648408,7.00851667743196,11.4756403905332,1.17345652339491e-10,3.26851646385109e-08,14.594473956115
"203140_at",-2.12494483071646,10.2173467189521,-11.446253177884,1.23101026229435e-10,3.37009897081184e-08,14.5472314761592
"210606_x_at",2.37837488732276,5.05033209127215,11.441705911349,1.24017464258211e-10,3.37009897081184e-08,14.5399126427185
"210629_x_at",2.0520801261433,7.15567101307295,11.4265080954268,1.27132152692922e-10,3.41311537163421e-08,14.5154347688994
"216557_x_at",4.1762233283408,7.34414080997848,11.3426035858929,1.4585372210534e-10,3.86911724961107e-08,14.3798252358009
"209355_s_at",-2.61930325887267,9.82332671450185,-11.298538502737,1.56812078516274e-10,4.11087475950369e-08,14.3082846134881
"221671_x_at",6.33541658751271,9.75791495310863,11.2003647715444,1.84414544735932e-10,4.77826662831486e-08,14.1480972873017
"202672_s_at",-3.17544449781453,8.61284536485713,-11.1102239112422,2.14211066186131e-10,5.48651171014432e-08,14.0000378712983
"209596_at",4.08768173689775,8.97608695344324,11.0484258270742,2.37495334691124e-10,6.01375970786626e-08,13.8979870006874
"219279_at",3.83386278458212,5.24322611974908,11.0203499580592,2.48927916740501e-10,6.23242783003212e-08,13.8514763232252
"222162_s_at",-2.35935371668103,8.83608706128642,-10.8829891511465,3.13695012713122e-10,7.76673996476276e-08,13.6225883169172
"211998_at",-2.81804119285214,8.84148650202916,-10.8630225912992,3.24474942958571e-10,7.9453573120284e-08,13.5891319895248
"210784_x_at",3.21007274205452,6.2201101477386,10.7905313424758,3.66957505934081e-10,8.88795011383601e-08,13.4672660244183
"217360_x_at",4.75817523995102,4.75801005042793,10.7826190707812,3.71931806633291e-10,8.9115660722684e-08,13.4539266917632
"216412_x_at",4.69772376867431,5.63448061490324,10.7409154787144,3.99331979755945e-10,9.46629202649119e-08,13.3834947104543
"212588_at",2.86565666022102,8.39562263055553,10.7248624877147,4.10430450431638e-10,9.62697023891389e-08,13.3563277469333
"212099_at",-1.72017908617649,11.534999152803,-10.712998101616,4.1883854874205e-10,9.72185352251989e-08,13.3362294098326
"210665_at",-3.17455328822923,6.76992783315618,-10.665009948986,4.54714117255102e-10,1.04457677059747e-07,13.2547644941737
"213006_at",-2.87465138219726,7.044363487708,-10.6577003039614,4.60452565170453e-10,1.04696576629522e-07,13.2423312562003
"204661_at",4.38503236514018,5.88061199819635,10.6473254858035,4.68726707487729e-10,1.05501386090395e-07,13.2246732830198
"211868_x_at",4.86979188854605,6.47291576904912,10.6165115995953,4.94223629599131e-10,1.10127851383574e-07,13.1721512611361
"209613_s_at",-5.60130172504013,6.1665276351236,-10.5905194728462,5.16849068518337e-10,1.13922312771555e-07,13.1277585119257
"213193_x_at",2.8409934131342,8.05746783992747,10.5853483537416,5.21477175546319e-10,1.13922312771555e-07,13.1189168283755
"217198_x_at",3.3447654262331,6.02183096986975,10.5471230197873,5.57050949256388e-10,1.20512294196894e-07,13.053457618152
"211635_x_at",5.76255231949156,7.09958116872329,10.4764293469855,6.29632697148214e-10,1.34904859524554e-07,12.9319286732036
"211581_x_at",2.57605665549606,6.38056238563273,10.4229607458037,6.91007932027902e-10,1.46645045232169e-07,12.8396050188624
"36711_at",-3.39317020789675,8.62742963277551,-10.3960561487687,7.24207931491561e-10,1.52240805070061e-07,12.7930163159434
"221031_s_at",-2.45490533868137,8.12070283920433,-10.2946445329421,8.64982922477791e-10,1.80134714594137e-07,12.6166062637629
