"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042113","B cell activation","34/263","291/18860",0.116838487972509,8.37860792076621,15.0848997760723,1.12611541889969e-21,4.11144739440276e-18,3.06659009336157e-18,"3507/5450/8935/51237/5788/56833/931/6850/939/7163/5079/604/1026/29760/472/952/7462/5579/10538/930/942/677/55024/4066/22890/10451/7805/3398/7305/5336/57162/4208/3394/4067",34
"GO:0002429","immune response-activating cell surface receptor signaling pathway","33/263","353/18860",0.0934844192634561,6.70386367798016,12.8648354758182,4.63987912926903e-18,8.47009935048061e-15,6.31756174074683e-15,"3507/3495/5788/931/915/6850/2633/971/163486/29760/7070/1445/952/929/64581/7462/5579/930/1236/55024/3684/9404/2268/10451/4792/7805/7305/963/5336/57162/4208/10062/4067",33
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","34/263","385/18860",0.0883116883116883,6.33292183102069,12.5724268690363,8.18209500279637e-18,9.95760961840318e-15,7.42704553411726e-15,"3507/3495/5788/931/915/6850/2633/2210/971/163486/29760/7070/1445/952/929/64581/7462/5579/930/1236/55024/3684/9404/2268/10451/4792/7805/7305/963/5336/57162/4208/10062/4067",34
"GO:0050853","B cell receptor signaling pathway","18/263","78/18860",0.230769230769231,16.5486984498391,16.3638761233944,2.23303908537116e-17,2.03820642517253e-14,1.5202295036461e-14,"3507/3495/5788/931/6850/971/29760/952/7462/5579/930/55024/9404/10451/4792/5336/4208/4067",18
"GO:0050851","antigen receptor-mediated signaling pathway","26/263","215/18860",0.12093023255814,8.67203112565213,13.4543943012449,3.60702533362653e-17,2.6338498986141e-14,1.96449990275618e-14,"3507/3495/5788/931/915/6850/2633/971/163486/29760/7070/1445/952/7462/5579/930/1236/55024/9404/10451/4792/7805/963/5336/4208/4067",26
"GO:0002696","positive regulation of leukocyte activation","30/263","381/18860",0.078740157480315,5.6465375288165,10.8960343388276,1.74562883463644e-14,9.50217450465682e-12,7.08735182676619e-12,"6352/5788/3112/199/11151/914/6850/399/939/3108/923/604/1026/7070/1445/952/64581/1236/942/22890/10451/3559/1075/29108/7305/57162/9760/51571/4208/4067",30
"GO:0030183","B cell differentiation","20/263","147/18860",0.136054421768707,9.75660226067614,12.674719045956,1.82183570344009e-14,9.50217450465682e-12,7.08735182676619e-12,"3507/5450/5788/56833/931/6850/939/7163/5079/604/29760/472/930/677/4066/22890/7805/3398/5336/3394",20
"GO:0050864","regulation of B cell activation","19/263","134/18860",0.141791044776119,10.1679813858464,12.6654134501408,3.87194043385716e-14,1.76705681550156e-11,1.31798814505111e-11,"51237/5788/56833/6850/939/604/1026/472/952/930/677/55024/10451/7805/3398/7305/57162/4208/4067",19
"GO:0050867","positive regulation of cell activation","30/263","401/18860",0.0748129675810474,5.36491470942416,10.5065376796051,6.73809672427995e-14,2.5493308309838e-11,1.90145997772927e-11,"6352/5788/3112/199/11151/914/6850/399/939/3108/923/604/1026/7070/1445/952/64581/1236/942/22890/10451/3559/1075/29108/7305/57162/9760/51571/4208/4067",30
"GO:0051251","positive regulation of lymphocyte activation","28/263","346/18860",0.0809248554913295,5.80320446603222,10.7234554787213,6.98255500132511e-14,2.5493308309838e-11,1.90145997772927e-11,"6352/5788/3112/199/11151/6850/399/939/3108/923/604/1026/7070/1445/952/64581/1236/942/22890/10451/3559/29108/7305/57162/9760/51571/4208/4067",28
