"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","18/175","193/9378",0.0932642487046632,4.99789785344189,7.73850449488486,1.76321929644861e-08,4.61963455669536e-06,3.47075798353569e-06,"10563/6362/6352/653361/6772/4283/3627/5579/1236/2833/1794/7852/2268/10451/4792/5336/5567/4067",18
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","12/175","91/9378",0.131868131868132,7.06662480376766,8.01892923833586,1.07188224519262e-07,1.40416574120233e-05,1.05495778868957e-05,"3725/6850/971/29760/5579/930/25780/55024/10451/4792/5336/4067",12
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","10/175","78/9378",0.128205128205128,6.87032967032967,7.17884521949184,1.66514488010034e-06,0.000125431473458024,9.42373866478527e-05,"653361/3112/3725/6772/3108/5579/4688/3684/4792/65108",10
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","11/175","98/9378",0.112244897959184,6.01504373177843,6.88176828622452,1.91498432760342e-06,0.000125431473458024,9.42373866478527e-05,"653361/5788/8613/6850/5579/10451/5336/10092/65108/10096/4067",11
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","15/175","201/9378",0.0746268656716418,3.99914712153518,5.92695601882477,4.91618808784867e-06,0.00025760825580327,0.000193542562616358,"3002/6935/5079/604/1026/472/929/942/8864/4318/2308/3684/4066/3398/4208",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","10/175","100/9378",0.1,5.35885714285714,6.04270959256687,1.60839390116727e-05,0.00060199886015118,0.000452285202283128,"10563/6362/6352/4283/3627/1236/2833/8795/7852/3559",10
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","10/175","100/9378",0.1,5.35885714285714,6.04270959256687,1.60839390116727e-05,0.00060199886015118,0.000452285202283128,"3112/914/931/915/3108/952/929/930/3684/3559",10
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","14/175","205/9378",0.0682926829268293,3.65970731707317,5.30934997035166,2.80747272136519e-05,0.0009194473162471,0.000690786051178014,"3112/3725/6772/915/6850/3627/3108/1026/29760/930/4792/5336/9636/4067",14
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","10/175","116/9378",0.0862068965517241,4.61970443349754,5.4092367175962,5.86272764122036e-05,0.00170670515777748,0.00128225739053592,"653361/399/7070/5579/4688/4318/3684/7852/10451/5336",10
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","9/175","101/9378",0.0891089108910891,4.77521923620934,5.25999531296448,0.000106938199946502,0.00280178083859836,0.0021049940410522,"3725/6772/1278/7422/1281/5579/2308/2335/5336",9
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","10/175","142/9378",0.0704225352112676,3.7738430583501,4.59272420702121,0.000314745193095955,0.0074966582355582,0.00563228240276972,"653361/3725/6772/489/6850/29760/4688/4792/7305/5336",10
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","7/175","75/9378",0.0933333333333333,5.0016,4.79776604975288,0.000476733687865144,0.010408685518389,0.00782010523077035,"6241/1026/983/472/5728/8795/901",7
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","5/175","38/9378",0.131578947368421,7.05112781954887,5.15395898667958,0.000651230286678209,0.0130953428795979,0.00983860634184333,"5788/915/29760/930/5993",5
"Human Diseases","Immune disease","hsa05330","Allograft rejection","5/175","39/9378",0.128205128205128,6.87032967032967,5.06559982886661,0.000735847878770442,0.0130953428795979,0.00983860634184333,"3112/3002/3108/5551/942",5
