"from","to","combined_score"
"9606.ENSP00000216338","9606.ENSP00000216341",837
"9606.ENSP00000216338","9606.ENSP00000216341",837
"9606.ENSP00000216797","9606.ENSP00000216802",913
"9606.ENSP00000216797","9606.ENSP00000216802",913
"9606.ENSP00000216797","9606.ENSP00000218388",463
"9606.ENSP00000216797","9606.ENSP00000218388",463
"9606.ENSP00000218388","9606.ENSP00000222390",797
"9606.ENSP00000218388","9606.ENSP00000222390",797
"9606.ENSP00000053243","9606.ENSP00000226279",620
"9606.ENSP00000053243","9606.ENSP00000226279",620
"9606.ENSP00000216341","9606.ENSP00000226279",610
"9606.ENSP00000216341","9606.ENSP00000226279",610
"9606.ENSP00000216341","9606.ENSP00000227266",552
"9606.ENSP00000216341","9606.ENSP00000227266",552
"9606.ENSP00000226279","9606.ENSP00000228463",598
"9606.ENSP00000226279","9606.ENSP00000228463",598
"9606.ENSP00000219150","9606.ENSP00000228945",518
"9606.ENSP00000219150","9606.ENSP00000228945",518
"9606.ENSP00000216341","9606.ENSP00000234091",404
"9606.ENSP00000216341","9606.ENSP00000234091",404
"9606.ENSP00000216797","9606.ENSP00000239223",711
"9606.ENSP00000216797","9606.ENSP00000239223",711
"9606.ENSP00000239223","9606.ENSP00000240100",902
"9606.ENSP00000239223","9606.ENSP00000240100",902
"9606.ENSP00000216341","9606.ENSP00000242465",996
"9606.ENSP00000216341","9606.ENSP00000242465",996
"9606.ENSP00000228945","9606.ENSP00000242465",671
"9606.ENSP00000228945","9606.ENSP00000242465",671
"9606.ENSP00000216341","9606.ENSP00000246657",743
"9606.ENSP00000216341","9606.ENSP00000246657",743
"9606.ENSP00000226279","9606.ENSP00000246657",731
"9606.ENSP00000226279","9606.ENSP00000246657",731
"9606.ENSP00000228463","9606.ENSP00000246657",730
"9606.ENSP00000228463","9606.ENSP00000246657",730
"9606.ENSP00000234091","9606.ENSP00000246657",406
"9606.ENSP00000234091","9606.ENSP00000246657",406
"9606.ENSP00000228843","9606.ENSP00000247191",849
"9606.ENSP00000228843","9606.ENSP00000247191",849
"9606.ENSP00000228945","9606.ENSP00000247470",497
"9606.ENSP00000228945","9606.ENSP00000247470",497
"9606.ENSP00000228843","9606.ENSP00000251496",873
"9606.ENSP00000228843","9606.ENSP00000251496",873
"9606.ENSP00000247191","9606.ENSP00000251496",987
"9606.ENSP00000247191","9606.ENSP00000251496",987
"9606.ENSP00000053243","9606.ENSP00000254801",873
"9606.ENSP00000053243","9606.ENSP00000254801",873
"9606.ENSP00000216338","9606.ENSP00000255945",515
"9606.ENSP00000216338","9606.ENSP00000255945",515
"9606.ENSP00000255945","9606.ENSP00000256412",412
"9606.ENSP00000255945","9606.ENSP00000256412",412
"9606.ENSP00000217964","9606.ENSP00000256495",522
"9606.ENSP00000217964","9606.ENSP00000256495",522
"9606.ENSP00000254657","9606.ENSP00000256495",780
"9606.ENSP00000254657","9606.ENSP00000256495",780
"9606.ENSP00000219150","9606.ENSP00000256935",705
"9606.ENSP00000219150","9606.ENSP00000256935",705
"9606.ENSP00000228945","9606.ENSP00000256935",578
"9606.ENSP00000228945","9606.ENSP00000256935",578
"9606.ENSP00000246657","9606.ENSP00000256935",546
"9606.ENSP00000246657","9606.ENSP00000256935",546
"9606.ENSP00000216797","9606.ENSP00000259874",434
"9606.ENSP00000216797","9606.ENSP00000259874",434
"9606.ENSP00000239223","9606.ENSP00000259874",409
"9606.ENSP00000239223","9606.ENSP00000259874",409
"9606.ENSP00000228843","9606.ENSP00000260731",848
"9606.ENSP00000228843","9606.ENSP00000260731",848
"9606.ENSP00000247191","9606.ENSP00000260731",999
"9606.ENSP00000247191","9606.ENSP00000260731",999
"9606.ENSP00000251496","9606.ENSP00000260731",993
"9606.ENSP00000251496","9606.ENSP00000260731",993
"9606.ENSP00000219150","9606.ENSP00000261267",415
"9606.ENSP00000219150","9606.ENSP00000261267",415
"9606.ENSP00000228843","9606.ENSP00000261597",797
"9606.ENSP00000228843","9606.ENSP00000261597",797
"9606.ENSP00000247191","9606.ENSP00000261597",988
"9606.ENSP00000247191","9606.ENSP00000261597",988
"9606.ENSP00000251496","9606.ENSP00000261597",991
"9606.ENSP00000251496","9606.ENSP00000261597",991
"9606.ENSP00000260731","9606.ENSP00000261597",995
"9606.ENSP00000260731","9606.ENSP00000261597",995
"9606.ENSP00000216341","9606.ENSP00000262629",529
"9606.ENSP00000216341","9606.ENSP00000262629",529
"9606.ENSP00000219150","9606.ENSP00000262629",408
"9606.ENSP00000219150","9606.ENSP00000262629",408
"9606.ENSP00000224337","9606.ENSP00000262629",457
"9606.ENSP00000224337","9606.ENSP00000262629",457
"9606.ENSP00000228463","9606.ENSP00000262629",452
"9606.ENSP00000228463","9606.ENSP00000262629",452
"9606.ENSP00000228945","9606.ENSP00000262629",425
"9606.ENSP00000228945","9606.ENSP00000262629",425
"9606.ENSP00000242465","9606.ENSP00000262629",609
"9606.ENSP00000242465","9606.ENSP00000262629",609
"9606.ENSP00000247470","9606.ENSP00000262629",407
"9606.ENSP00000247470","9606.ENSP00000262629",407
"9606.ENSP00000255945","9606.ENSP00000262629",584
"9606.ENSP00000255945","9606.ENSP00000262629",584
"9606.ENSP00000256935","9606.ENSP00000262629",518
"9606.ENSP00000256935","9606.ENSP00000262629",518
"9606.ENSP00000261267","9606.ENSP00000262629",629
"9606.ENSP00000261267","9606.ENSP00000262629",629
"9606.ENSP00000219150","9606.ENSP00000263238",803
"9606.ENSP00000219150","9606.ENSP00000263238",803
"9606.ENSP00000263238","9606.ENSP00000263867",462
"9606.ENSP00000263238","9606.ENSP00000263867",462
"9606.ENSP00000234091","9606.ENSP00000264824",482
"9606.ENSP00000234091","9606.ENSP00000264824",482
"9606.ENSP00000246657","9606.ENSP00000265598",572
"9606.ENSP00000246657","9606.ENSP00000265598",572
"9606.ENSP00000228463","9606.ENSP00000265769",821
"9606.ENSP00000228463","9606.ENSP00000265769",821
"9606.ENSP00000053243","9606.ENSP00000266557",551
"9606.ENSP00000053243","9606.ENSP00000266557",551
"9606.ENSP00000216338","9606.ENSP00000266557",425
"9606.ENSP00000216338","9606.ENSP00000266557",425
"9606.ENSP00000216341","9606.ENSP00000266557",765
"9606.ENSP00000216341","9606.ENSP00000266557",765
"9606.ENSP00000226279","9606.ENSP00000266557",881
"9606.ENSP00000226279","9606.ENSP00000266557",881
"9606.ENSP00000246657","9606.ENSP00000266557",899
"9606.ENSP00000246657","9606.ENSP00000266557",899
"9606.ENSP00000216341","9606.ENSP00000268638",405
"9606.ENSP00000216341","9606.ENSP00000268638",405
"9606.ENSP00000216802","9606.ENSP00000268638",426
"9606.ENSP00000216802","9606.ENSP00000268638",426
"9606.ENSP00000219150","9606.ENSP00000268638",439
"9606.ENSP00000219150","9606.ENSP00000268638",439
"9606.ENSP00000224337","9606.ENSP00000268638",565
"9606.ENSP00000224337","9606.ENSP00000268638",565
"9606.ENSP00000234091","9606.ENSP00000268638",619
"9606.ENSP00000234091","9606.ENSP00000268638",619
"9606.ENSP00000246657","9606.ENSP00000268638",573
"9606.ENSP00000246657","9606.ENSP00000268638",573
"9606.ENSP00000256935","9606.ENSP00000268638",405
"9606.ENSP00000256935","9606.ENSP00000268638",405
"9606.ENSP00000262629","9606.ENSP00000268638",731
"9606.ENSP00000262629","9606.ENSP00000268638",731
"9606.ENSP00000219150","9606.ENSP00000271324",579
"9606.ENSP00000219150","9606.ENSP00000271324",579
"9606.ENSP00000228945","9606.ENSP00000271324",594
"9606.ENSP00000228945","9606.ENSP00000271324",594
"9606.ENSP00000242465","9606.ENSP00000271324",653
"9606.ENSP00000242465","9606.ENSP00000271324",653
"9606.ENSP00000256935","9606.ENSP00000271324",695
"9606.ENSP00000256935","9606.ENSP00000271324",695
"9606.ENSP00000261267","9606.ENSP00000271324",544
"9606.ENSP00000261267","9606.ENSP00000271324",544
"9606.ENSP00000262629","9606.ENSP00000271324",672
"9606.ENSP00000262629","9606.ENSP00000271324",672
"9606.ENSP00000268638","9606.ENSP00000271324",472
"9606.ENSP00000268638","9606.ENSP00000271324",472
"9606.ENSP00000216338","9606.ENSP00000274306",843
"9606.ENSP00000216338","9606.ENSP00000274306",843
"9606.ENSP00000216341","9606.ENSP00000274306",841
"9606.ENSP00000216341","9606.ENSP00000274306",841
"9606.ENSP00000227266","9606.ENSP00000274306",650
"9606.ENSP00000227266","9606.ENSP00000274306",650
"9606.ENSP00000246657","9606.ENSP00000274306",622
"9606.ENSP00000246657","9606.ENSP00000274306",622
"9606.ENSP00000255945","9606.ENSP00000274306",642
"9606.ENSP00000255945","9606.ENSP00000274306",642
"9606.ENSP00000262629","9606.ENSP00000274306",584
"9606.ENSP00000262629","9606.ENSP00000274306",584
"9606.ENSP00000266557","9606.ENSP00000274306",622
"9606.ENSP00000266557","9606.ENSP00000274306",622
"9606.ENSP00000220003","9606.ENSP00000276420",863
"9606.ENSP00000220003","9606.ENSP00000276420",863
"9606.ENSP00000262629","9606.ENSP00000276420",554
"9606.ENSP00000262629","9606.ENSP00000276420",554
"9606.ENSP00000216797","9606.ENSP00000276431",472
"9606.ENSP00000216797","9606.ENSP00000276431",472
"9606.ENSP00000216797","9606.ENSP00000278616",445
"9606.ENSP00000216797","9606.ENSP00000278616",445
"9606.ENSP00000228843","9606.ENSP00000278616",695
"9606.ENSP00000228843","9606.ENSP00000278616",695
"9606.ENSP00000254657","9606.ENSP00000278616",526
"9606.ENSP00000254657","9606.ENSP00000278616",526
"9606.ENSP00000276431","9606.ENSP00000278616",404
"9606.ENSP00000276431","9606.ENSP00000278616",404
"9606.ENSP00000218388","9606.ENSP00000284240",537
"9606.ENSP00000218388","9606.ENSP00000284240",537
"9606.ENSP00000220003","9606.ENSP00000284240",652
"9606.ENSP00000220003","9606.ENSP00000284240",652
"9606.ENSP00000222390","9606.ENSP00000284240",627
"9606.ENSP00000222390","9606.ENSP00000284240",627
"9606.ENSP00000226279","9606.ENSP00000284240",689
"9606.ENSP00000226279","9606.ENSP00000284240",689
"9606.ENSP00000246657","9606.ENSP00000284240",449
"9606.ENSP00000246657","9606.ENSP00000284240",449
"9606.ENSP00000266557","9606.ENSP00000284240",442
"9606.ENSP00000266557","9606.ENSP00000284240",442
"9606.ENSP00000216341","9606.ENSP00000286639",438
"9606.ENSP00000216341","9606.ENSP00000286639",438
"9606.ENSP00000234091","9606.ENSP00000286639",408
"9606.ENSP00000234091","9606.ENSP00000286639",408
"9606.ENSP00000246657","9606.ENSP00000286639",521
"9606.ENSP00000246657","9606.ENSP00000286639",521
"9606.ENSP00000268638","9606.ENSP00000286639",881
"9606.ENSP00000268638","9606.ENSP00000286639",881
"9606.ENSP00000216341","9606.ENSP00000286758",460
"9606.ENSP00000216341","9606.ENSP00000286758",460
"9606.ENSP00000218388","9606.ENSP00000286758",418
"9606.ENSP00000218388","9606.ENSP00000286758",418
"9606.ENSP00000226279","9606.ENSP00000286758",424
"9606.ENSP00000226279","9606.ENSP00000286758",424
"9606.ENSP00000246657","9606.ENSP00000286758",927
"9606.ENSP00000246657","9606.ENSP00000286758",927
"9606.ENSP00000256935","9606.ENSP00000286758",451
"9606.ENSP00000256935","9606.ENSP00000286758",451
"9606.ENSP00000266557","9606.ENSP00000286758",526
"9606.ENSP00000266557","9606.ENSP00000286758",526
"9606.ENSP00000255688","9606.ENSP00000287156",486
"9606.ENSP00000255688","9606.ENSP00000287156",486
"9606.ENSP00000216797","9606.ENSP00000289473",432
"9606.ENSP00000216797","9606.ENSP00000289473",432
"9606.ENSP00000228945","9606.ENSP00000289473",426
"9606.ENSP00000228945","9606.ENSP00000289473",426
"9606.ENSP00000256412","9606.ENSP00000289707",509
"9606.ENSP00000256412","9606.ENSP00000289707",509
"9606.ENSP00000262629","9606.ENSP00000289707",598
"9606.ENSP00000262629","9606.ENSP00000289707",598
"9606.ENSP00000256495","9606.ENSP00000290524",415
"9606.ENSP00000256495","9606.ENSP00000290524",415
"9606.ENSP00000264824","9606.ENSP00000290524",434
"9606.ENSP00000264824","9606.ENSP00000290524",434
"9606.ENSP00000239223","9606.ENSP00000290551",864
"9606.ENSP00000239223","9606.ENSP00000290551",864
"9606.ENSP00000259874","9606.ENSP00000290551",420
"9606.ENSP00000259874","9606.ENSP00000290551",420
"9606.ENSP00000219150","9606.ENSP00000294507",863
"9606.ENSP00000219150","9606.ENSP00000294507",863
"9606.ENSP00000228945","9606.ENSP00000294507",728
"9606.ENSP00000228945","9606.ENSP00000294507",728
"9606.ENSP00000242465","9606.ENSP00000294507",735
"9606.ENSP00000242465","9606.ENSP00000294507",735
"9606.ENSP00000256935","9606.ENSP00000294507",654
"9606.ENSP00000256935","9606.ENSP00000294507",654
"9606.ENSP00000262629","9606.ENSP00000294507",864
"9606.ENSP00000262629","9606.ENSP00000294507",864
"9606.ENSP00000268638","9606.ENSP00000294507",579
"9606.ENSP00000268638","9606.ENSP00000294507",579
"9606.ENSP00000271324","9606.ENSP00000294507",905
"9606.ENSP00000271324","9606.ENSP00000294507",905
"9606.ENSP00000289473","9606.ENSP00000294507",465
"9606.ENSP00000289473","9606.ENSP00000294507",465
"9606.ENSP00000263238","9606.ENSP00000294742",999
"9606.ENSP00000263238","9606.ENSP00000294742",999
"9606.ENSP00000228843","9606.ENSP00000296503",533
"9606.ENSP00000228843","9606.ENSP00000296503",533
"9606.ENSP00000247191","9606.ENSP00000296503",665
"9606.ENSP00000247191","9606.ENSP00000296503",665
"9606.ENSP00000251496","9606.ENSP00000296503",701
"9606.ENSP00000251496","9606.ENSP00000296503",701
"9606.ENSP00000260731","9606.ENSP00000296503",577
"9606.ENSP00000260731","9606.ENSP00000296503",577
"9606.ENSP00000261597","9606.ENSP00000296503",596
"9606.ENSP00000261597","9606.ENSP00000296503",596
"9606.ENSP00000274306","9606.ENSP00000296503",967
"9606.ENSP00000274306","9606.ENSP00000296503",967
"9606.ENSP00000228843","9606.ENSP00000296509",847
"9606.ENSP00000228843","9606.ENSP00000296509",847
"9606.ENSP00000247191","9606.ENSP00000296509",960
"9606.ENSP00000247191","9606.ENSP00000296509",960
"9606.ENSP00000251496","9606.ENSP00000296509",993
"9606.ENSP00000251496","9606.ENSP00000296509",993
"9606.ENSP00000260731","9606.ENSP00000296509",995
"9606.ENSP00000260731","9606.ENSP00000296509",995
"9606.ENSP00000261597","9606.ENSP00000296509",993
"9606.ENSP00000261597","9606.ENSP00000296509",993
"9606.ENSP00000278616","9606.ENSP00000296509",409
"9606.ENSP00000278616","9606.ENSP00000296509",409
"9606.ENSP00000296503","9606.ENSP00000296509",784
"9606.ENSP00000296503","9606.ENSP00000296509",784
"9606.ENSP00000218388","9606.ENSP00000297268",695
"9606.ENSP00000218388","9606.ENSP00000297268",695
"9606.ENSP00000284240","9606.ENSP00000297268",683
"9606.ENSP00000284240","9606.ENSP00000297268",683
"9606.ENSP00000290524","9606.ENSP00000297268",464
"9606.ENSP00000290524","9606.ENSP00000297268",464
"9606.ENSP00000228945","9606.ENSP00000299759",446
"9606.ENSP00000228945","9606.ENSP00000299759",446
"9606.ENSP00000228843","9606.ENSP00000300035",826
"9606.ENSP00000228843","9606.ENSP00000300035",826
"9606.ENSP00000247191","9606.ENSP00000300035",945
"9606.ENSP00000247191","9606.ENSP00000300035",945
"9606.ENSP00000251496","9606.ENSP00000300035",873
"9606.ENSP00000251496","9606.ENSP00000300035",873
"9606.ENSP00000260731","9606.ENSP00000300035",953
"9606.ENSP00000260731","9606.ENSP00000300035",953
"9606.ENSP00000261597","9606.ENSP00000300035",918
"9606.ENSP00000261597","9606.ENSP00000300035",918
"9606.ENSP00000296503","9606.ENSP00000300035",550
"9606.ENSP00000296503","9606.ENSP00000300035",550
"9606.ENSP00000296509","9606.ENSP00000300035",873
"9606.ENSP00000296509","9606.ENSP00000300035",873
"9606.ENSP00000216338","9606.ENSP00000300692",477
"9606.ENSP00000216338","9606.ENSP00000300692",477
"9606.ENSP00000216341","9606.ENSP00000300692",552
"9606.ENSP00000216341","9606.ENSP00000300692",552
"9606.ENSP00000219150","9606.ENSP00000300692",439
"9606.ENSP00000219150","9606.ENSP00000300692",439
"9606.ENSP00000220003","9606.ENSP00000300692",919
"9606.ENSP00000220003","9606.ENSP00000300692",919
"9606.ENSP00000246657","9606.ENSP00000300692",469
"9606.ENSP00000246657","9606.ENSP00000300692",469
"9606.ENSP00000254801","9606.ENSP00000300692",414
"9606.ENSP00000254801","9606.ENSP00000300692",414
"9606.ENSP00000261267","9606.ENSP00000300692",464
"9606.ENSP00000261267","9606.ENSP00000300692",464
"9606.ENSP00000266557","9606.ENSP00000300692",498
"9606.ENSP00000266557","9606.ENSP00000300692",498
"9606.ENSP00000271324","9606.ENSP00000300692",403
"9606.ENSP00000271324","9606.ENSP00000300692",403
"9606.ENSP00000274306","9606.ENSP00000300692",775
"9606.ENSP00000274306","9606.ENSP00000300692",775
"9606.ENSP00000284240","9606.ENSP00000300692",638
"9606.ENSP00000284240","9606.ENSP00000300692",638
"9606.ENSP00000219150","9606.ENSP00000302569",412
"9606.ENSP00000219150","9606.ENSP00000302569",412
"9606.ENSP00000262629","9606.ENSP00000302569",780
"9606.ENSP00000262629","9606.ENSP00000302569",780
"9606.ENSP00000053243","9606.ENSP00000303920",833
"9606.ENSP00000053243","9606.ENSP00000303920",833
"9606.ENSP00000224337","9606.ENSP00000303920",427
"9606.ENSP00000224337","9606.ENSP00000303920",427
"9606.ENSP00000254801","9606.ENSP00000303920",872
"9606.ENSP00000254801","9606.ENSP00000303920",872
