"gene","degree","betweenness","closeness"
"PTPRC",150,2830.59864160789,0.00219298245614035
"ITGAM",112,899.716817863022,0.00205338809034908
"CD86",108,1087.27412855671,0.00200803212851406
"JUN",100,2355.3643609737,0.00202839756592292
"VEGFA",98,1417.37490520482,0.00197628458498024
"TYROBP",90,1523.57693250862,0.0018348623853211
"FN1",90,1294.19553609381,0.00195694716242661
"SYK",90,961.611965072543,0.00198019801980198
"CD19",90,449.473588427537,0.00192678227360308
"STAT1",84,1750.54807125549,0.00199203187250996
